user_type,name,username,password,confirm_password
RegularUser,Elizabeth,agonzales,!@!?&60181zyMMy,!@!?&60181zyMMy
RegularUser,Jillian,deleonrebekah,669IlZ?%@,669IlZ?%@
RegularUser,Kim,fergusonwilliam,?&!&TVar1526,?&!&TVar1526
AdminUser,Kristie,pearsonangela,*&!$!33951LueXd,*&!$!33951LueXd
RegularUser,Christopher,williamhernandez,45690*$*??WnCZh,45690*$*??WnCZh
AdminUser,Heidi,grayanne,?$&$7159JPcW,?$&$7159JPcW
AdminUser,Justin,martineztonya,NOX456%$!,NOX456%$!
AdminUser,Dr.,danaryan,dJr?&&202,dJr?&&202
AdminUser,Michele,sarahconley,943!!$jvS,943!!$jvS
AdminUser,Michael,wmedina,5861?$%?vXJa,5861?$%?vXJa
RegularUser,Kristen,oreilly,?@!@6255wMjn,?@!@6255wMjn
RegularUser,Robert,dclark,uVlM3682!!&*,uVlM3682!!&*
AdminUser,Richard,znguyen,*@&@!hqnnl37535,*@&@!hqnnl37535
AdminUser,Elizabeth,nicoleromero,794fdz!*!,794fdz!*!
RegularUser,Sally,sarah72,EfnT8306%&!?,EfnT8306%&!?
AdminUser,Jennifer,justin01,384Xec%@%,384Xec%@%
AdminUser,Ronald,jwright,CMb281*!*,CMb281*!*
RegularUser,Kevin,maryperez,Fgfw7858*&*@,Fgfw7858*&*@
AdminUser,Jose,austinphyllis,3439%?!*qtxq,3439%?!*qtxq
AdminUser,Ronald,fullernatalie,@&$!9814tZBG,@&$!9814tZBG
AdminUser,Michelle,craig69,&$%$&27292YjpEX,&$%$&27292YjpEX
RegularUser,Rachel,christinejones,TXPxP42953@%%?*,TXPxP42953@%%?*
AdminUser,Brian,bshaw,210xxv?&*,210xxv?&*
RegularUser,Miranda,fbrown,759NaN%?@,759NaN%?@
RegularUser,Amy,anthonyjames,143rEa%&*,143rEa%&*
AdminUser,Anthony,kenneth07,!!&978EUa,!!&978EUa
RegularUser,James,brucebrandi,EEDYC81366&**%%,EEDYC81366&**%%
RegularUser,Theresa,johnobrien,naxk8447@@!@,naxk8447@@!@
RegularUser,Margaret,anthonyharris,513qsX$@?,513qsX$@?
AdminUser,Thomas,jamesmccoy,&%%793xVi,&%%793xVi
AdminUser,Tina,gabriellathompson,?$&922bgS,?$&922bgS
AdminUser,Vanessa,melissa63,60582VgpMr**$&@,60582VgpMr**$&@
AdminUser,Roger,madisonnorman,?!@@rgFj2088,?!@@rgFj2088
AdminUser,Lance,reynoldsmaria,CGmrV@%*$&38528,CGmrV@%*$&38528
RegularUser,Joshua,alexandria81,090Rmf!@!,090Rmf!@!
RegularUser,Eric,jerry17,38146&&%??YksMk,38146&&%??YksMk
AdminUser,Mary,dawnflores,YCnq&!!!9682,YCnq&!!!9682
AdminUser,Michael,tiffany91,!*%@2479aHbb,!*%@2479aHbb
